Sensor name;Date;Distance
ekstensometer (ny);12.11.2020 13:55:30;0.000
ekstensometer (ny);12.11.2020 14:00:02;0.000
ekstensometer (ny);12.11.2020 15:00:03;0.000
ekstensometer (ny);12.11.2020 16:00:05;0.000
ekstensometer (ny);12.11.2020 17:00:03;0.000
ekstensometer (ny);12.11.2020 18:00:03;0.000
ekstensometer (ny);12.11.2020 19:00:03;0.000
ekstensometer (ny);12.11.2020 20:00:05;0.000
ekstensometer (ny);12.11.2020 21:00:02;0.000
ekstensometer (ny);12.11.2020 22:00:03;0.000
ekstensometer (ny);12.11.2020 23:00:03;0.000
ekstensometer (ny);13.11.2020 00:00:06;0.000
ekstensometer (ny);13.11.2020 01:00:03;0.000
ekstensometer (ny);13.11.2020 02:00:02;0.000
ekstensometer (ny);13.11.2020 03:00:02;0.000
ekstensometer (ny);13.11.2020 04:00:05;0.000
ekstensometer (ny);13.11.2020 05:00:03;0.000
ekstensometer (ny);13.11.2020 06:00:03;0.000
ekstensometer (ny);13.11.2020 07:00:03;0.000
ekstensometer (ny);13.11.2020 08:00:24;0.000
ekstensometer (ny);13.11.2020 09:00:02;0.000
ekstensometer (ny);13.11.2020 10:00:02;0.562
ekstensometer (ny);13.11.2020 11:00:03;0.562
ekstensometer (ny);13.11.2020 12:00:05;0.562
ekstensometer (ny);13.11.2020 13:00:03;0.000
ekstensometer (ny);13.11.2020 14:00:03;0.000
ekstensometer (ny);13.11.2020 15:00:02;0.000
ekstensometer (ny);13.11.2020 16:00:39;0.000
ekstensometer (ny);13.11.2020 17:00:03;0.000
ekstensometer (ny);13.11.2020 18:00:03;0.562
ekstensometer (ny);13.11.2020 19:00:03;0.562
ekstensometer (ny);13.11.2020 20:00:25;0.562
ekstensometer (ny);13.11.2020 21:00:03;0.562
ekstensometer (ny);13.11.2020 22:00:02;0.562
ekstensometer (ny);13.11.2020 23:00:02;0.562
ekstensometer (ny);14.11.2020 00:00:05;0.562
ekstensometer (ny);14.11.2020 01:00:03;0.562
ekstensometer (ny);14.11.2020 02:00:03;0.562
ekstensometer (ny);14.11.2020 03:00:03;0.562
ekstensometer (ny);14.11.2020 04:00:04;0.562
ekstensometer (ny);14.11.2020 05:00:02;0.562
ekstensometer (ny);14.11.2020 06:00:03;0.562
ekstensometer (ny);14.11.2020 07:00:03;0.562
ekstensometer (ny);14.11.2020 08:00:06;0.562
ekstensometer (ny);14.11.2020 09:00:03;0.562
ekstensometer (ny);14.11.2020 10:00:03;0.562
ekstensometer (ny);14.11.2020 11:00:03;0.562
ekstensometer (ny);14.11.2020 12:00:05;0.562
ekstensometer (ny);14.11.2020 13:00:02;0.562
ekstensometer (ny);14.11.2020 14:00:02;0.562
ekstensometer (ny);14.11.2020 15:00:03;0.562
ekstensometer (ny);14.11.2020 16:00:05;0.562
ekstensometer (ny);14.11.2020 17:00:03;0.562
ekstensometer (ny);14.11.2020 18:00:03;0.562
ekstensometer (ny);14.11.2020 19:00:02;0.562
ekstensometer (ny);14.11.2020 20:00:05;0.562
ekstensometer (ny);14.11.2020 21:00:02;0.562
ekstensometer (ny);14.11.2020 22:00:03;0.562
ekstensometer (ny);14.11.2020 23:00:03;0.562
ekstensometer (ny);15.11.2020 00:00:05;0.562
ekstensometer (ny);15.11.2020 01:00:03;0.562
ekstensometer (ny);15.11.2020 02:00:02;0.562
ekstensometer (ny);15.11.2020 03:00:02;0.562
ekstensometer (ny);15.11.2020 04:00:05;0.562
ekstensometer (ny);15.11.2020 05:00:03;0.562
ekstensometer (ny);15.11.2020 06:00:03;0.562
ekstensometer (ny);15.11.2020 07:00:03;0.562
ekstensometer (ny);15.11.2020 08:00:04;0.562
ekstensometer (ny);15.11.2020 09:00:02;0.562
ekstensometer (ny);15.11.2020 10:00:03;0.562
ekstensometer (ny);15.11.2020 11:00:03;0.562
ekstensometer (ny);15.11.2020 12:00:05;0.562
ekstensometer (ny);15.11.2020 13:00:03;0.562
ekstensometer (ny);15.11.2020 14:00:02;0.562
ekstensometer (ny);15.11.2020 15:00:02;0.562
ekstensometer (ny);15.11.2020 16:00:05;0.562
ekstensometer (ny);15.11.2020 17:00:03;0.562
ekstensometer (ny);15.11.2020 18:00:03;0.562
ekstensometer (ny);15.11.2020 19:00:03;0.562
ekstensometer (ny);15.11.2020 20:00:04;0.562
ekstensometer (ny);15.11.2020 21:00:02;0.562
ekstensometer (ny);15.11.2020 22:00:03;1.125
ekstensometer (ny);15.11.2020 23:00:03;1.125
ekstensometer (ny);16.11.2020 00:00:05;1.125
ekstensometer (ny);16.11.2020 01:00:03;1.125
ekstensometer (ny);16.11.2020 02:00:03;1.125
ekstensometer (ny);16.11.2020 03:00:02;1.125
ekstensometer (ny);16.11.2020 04:00:05;1.688
ekstensometer (ny);16.11.2020 05:00:03;1.688
ekstensometer (ny);16.11.2020 06:00:03;1.688
ekstensometer (ny);16.11.2020 07:00:03;1.688
ekstensometer (ny);16.11.2020 08:00:24;1.688
ekstensometer (ny);16.11.2020 09:00:02;1.688
ekstensometer (ny);16.11.2020 10:00:03;1.688
ekstensometer (ny);16.11.2020 11:00:03;1.688
ekstensometer (ny);16.11.2020 12:00:05;1.688
ekstensometer (ny);16.11.2020 13:00:02;1.688
ekstensometer (ny);16.11.2020 14:00:02;1.688
ekstensometer (ny);16.11.2020 15:00:02;1.688
ekstensometer (ny);16.11.2020 16:00:06;1.688
ekstensometer (ny);16.11.2020 17:00:03;1.688
