Date;TIME;Pts_01;Pts_02;Pts_03;Pts_04;Pts_05;Pts_06;Pts_07;Pts_08;Pts_09;Pts_10;Pts_11;Pt_12;Pt_13
30-03-2016;13:53:00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
30-03-2016;19:59:00;-0.93;0.16;-0.16;0.07;0.13;0.09;-1.07;-0.16;0.14;0.23;-0.19;-0.34;-0.22
31-03-2016;03:54:00;-1.20;0.29;0.00;-0.21;0.12;-0.14;-1.35;-0.43;-0.01;0.15;-0.01;-0.07;0.23
31-03-2016;11:56:00;-0.83;0.10;-0.04;-0.27;0.14;-0.13;-0.99;-0.58;-0.15;-0.14;0.72;0.64;0.67
31-03-2016;19:58:00;-0.27;0.18;-0.16;-1.39;0.19;0.09;-0.92;-0.57;0.21;0.33;0.95;0.50;0.94
01-04-2016;04:01:00;-0.22;0.19;0.10;-1.44;0.21;0.18;-1.18;-0.56;0.26;0.95;0.70;0.05;0.58
01-04-2016;12:03:00;-0.60;0.54;0.35;-1.05;-0.26;0.18;-0.84;-0.34;0.31;0.85;0.75;0.30;1.03
01-04-2016;19:58:00;-1.93;0.64;-0.14;0.08;0.50;-0.32;-1.79;-0.93;0.01;0.02;0.26;0.69;0.94
02-04-2016;03:53:00;-0.83;0.64;-0.51;-0.17;0.78;-0.46;-1.86;-1.32;-0.03;0.21;1.15;1.43;1.30
02-04-2016;11:55:00;0.44;1.38;-0.79;-0.26;-0.03;-0.33;-1.32;-0.79;-0.04;0.55;0.81;1.16;1.15
02-04-2016;19:57:00;0.43;1.35;-1.20;0.84;0.79;-0.90;-1.47;-0.53;-0.51;-0.04;0.80;0.93;1.45
03-04-2016;04:00:00;-0.77;1.87;-1.00;1.26;0.87;-1.06;-2.23;-0.83;-0.73;-0.75;0.38;1.08;1.43
03-04-2016;12:02:00;-0.05;2.10;-0.42;-0.26;-0.16;-1.15;-1.72;-0.69;-0.84;1.10;0.87;1.75;1.68
03-04-2016;20:04:00;-0.25;2.20;-0.71;0.58;-0.96;-0.81;-1.77;-0.53;-0.01;0.64;1.71;2.65;2.61
04-04-2016;03:59:00;0.98;2.89;-1.32;-1.29;-0.56;-0.20;-0.57;0.43;0.17;1.33;1.36;2.05;2.27
04-04-2016;11:54:00;1.38;2.98;-1.32;-0.86;-0.60;-0.83;-0.79;-0.07;-0.61;1.34;1.49;1.93;2.41
04-04-2016;19:56:00;2.55;2.28;-1.45;-1.28;-0.42;-0.27;-0.08;0.71;0.04;0.94;1.48;1.42;2.26
05-04-2016;04:01:00;1.25;2.07;-1.27;0.03;1.40;-0.80;-1.08;-0.24;-0.57;0.65;0.33;0.74;1.46
05-04-2016;12:01:00;1.00;1.19;-0.78;-0.36;-0.03;-0.87;-0.99;-0.17;-0.56;1.19;0.44;1.05;1.65
05-04-2016;20:03:00;2.37;1.52;-1.42;0.12;1.39;-1.15;-1.30;0.03;-0.81;-0.01;1.05;1.15;1.94
06-04-2016;04:05:00;2.14;1.88;-1.54;-0.91;1.03;-0.74;-1.34;0.49;-0.35;0.49;0.79;0.92;1.88
06-04-2016;12:00:00;2.57;2.66;-1.68;-1.11;0.29;-1.38;-1.98;0.17;-0.99;1.42;0.26;0.93;1.28
06-04-2016;16:17:00;2.45;2.69;-1.72;-2.16;0.13;-0.82;-1.12;0.87;-0.60;1.35;0.72;1.76;1.37
11-04-2016;12:36:00;0.78;2.72;-1.34;-1.68;-0.17;-0.46;0.02;1.53;-0.08;0.40;0.68;1.48;1.39
11-04-2016;19:59:00;0.25;3.26;-1.47;-1.37;0.21;-0.47;0.03;1.82;0.12;0.93;0.63;1.62;1.38
12-04-2016;03:54:00;0.25;2.90;-1.20;-1.12;0.49;-0.33;0.70;1.54;0.02;0.66;-0.16;1.33;1.87
12-04-2016;11:56:00;0.25;2.08;-0.86;-0.41;0.36;-0.46;0.69;1.16;-0.28;0.47;0.21;1.86;1.81
12-04-2016;19:59:00;0.00;2.57;-1.19;-1.53;0.56;-0.40;-0.00;1.11;-0.04;0.61;0.62;1.85;1.75
13-04-2016;04:01:00;-0.19;2.45;-1.10;-0.95;0.22;-0.41;-0.24;0.82;-0.14;0.45;0.54;1.60;1.54
13-04-2016;11:58:00;0.43;3.22;-1.15;-0.50;-0.23;-0.42;0.29;1.19;-0.15;0.66;0.86;2.16;1.67
13-04-2016;19:58:00;0.48;3.20;-1.48;-1.82;0.03;-0.27;-0.01;1.78;0.18;0.79;0.90;2.23;1.55
14-04-2016;03:53:00;-0.11;3.01;-1.40;-1.06;-0.06;-0.51;-0.39;1.46;-0.12;0.77;1.14;2.21;1.62
14-04-2016;11:55:00;0.86;3.18;-1.65;-0.36;-0.12;-0.36;0.01;1.86;0.06;1.35;1.11;2.42;1.70
14-04-2016;19:57:00;0.55;2.95;-1.80;0.61;-0.36;-0.51;-0.49;1.32;-0.14;1.06;0.46;2.73;1.50
15-04-2016;04:00:00;0.30;2.95;-1.75;1.59;0.12;-0.46;-0.15;1.48;-0.26;0.35;0.18;2.66;1.37
