"timestamp","015-0359-iw3","044-0362-iw1","117-0361-iw2"
"2018-07-29 00:00:00",0.1,,
"2018-07-30 00:00:00",,,0.1
"2018-07-31 00:00:00",,-0.1,
"2018-08-04 00:00:00",-6.3,,
"2018-08-05 00:00:00",,,7.8
"2018-08-06 00:00:00",,0,
"2018-08-10 00:00:00",3,,
"2018-08-11 00:00:00",,,12.1
"2018-08-12 00:00:00",,5.5,
"2018-08-16 00:00:00",-1.5,,
"2018-08-17 00:00:00",,,7.6
"2018-08-18 00:00:00",,4,
"2018-08-22 00:00:00",-1.1,,
"2018-08-23 00:00:00",,,10.3
"2018-08-24 00:00:00",,2.2,
"2018-08-28 00:00:00",-2,,
"2018-08-29 00:00:00",,,8.8
"2018-08-30 00:00:00",,0.9,
"2018-09-03 00:00:00",-5.5,,
"2018-09-04 00:00:00",,,5.7
"2018-09-05 00:00:00",,3.6,
"2018-09-09 00:00:00",4.9,,
"2018-09-10 00:00:00",,,10.1
"2018-09-11 00:00:00",,4.7,
"2018-09-15 00:00:00",2.6,,
"2018-09-16 00:00:00",,,6.7
"2018-09-17 00:00:00",,0.3,
"2018-09-21 00:00:00",6,,
"2018-09-22 00:00:00",,,14.3
"2018-09-23 00:00:00",,1.6,
"2018-09-27 00:00:00",4.8,,
"2018-09-28 00:00:00",,,14.8
"2018-09-29 00:00:00",,2.4,
"2018-10-03 00:00:00",3.7,,
"2018-10-04 00:00:00",,,11
"2018-10-05 00:00:00",,3.6,
"2018-10-09 00:00:00",9,,
"2018-10-10 00:00:00",,,10.1
"2018-10-11 00:00:00",,-3,
"2018-10-15 00:00:00",5.8,,
"2018-10-16 00:00:00",,,16.4
"2018-10-17 00:00:00",,1.3,
"2018-10-21 00:00:00",2.1,,
"2018-10-22 00:00:00",,,16.5
"2018-10-23 00:00:00",,4,
"2018-10-27 00:00:00",9.2,,
"2018-10-28 00:00:00",,,16.5
"2018-10-29 00:00:00",,-0.5,
"2018-11-02 00:00:00",11.6,,
"2018-11-03 00:00:00",,,11.3
"2018-11-04 00:00:00",,3.6,
"2018-11-08 00:00:00",19.1,,
"2018-11-09 00:00:00",,,19.5
"2018-11-10 00:00:00",,-0.9,
"2018-11-14 00:00:00",12.8,,
"2018-11-15 00:00:00",,,14
"2018-11-16 00:00:00",,-4.9,
"2018-11-20 00:00:00",22.8,,
"2018-11-21 00:00:00",,,18.9
"2018-11-22 00:00:00",,1.7,
"2018-11-26 00:00:00",18.6,,
"2018-11-27 00:00:00",,,18
"2018-11-28 00:00:00",,-0.2,
"2018-12-02 00:00:00",20.8,,
"2018-12-03 00:00:00",,,20.1
"2018-12-04 00:00:00",,0.4,
"2018-12-08 00:00:00",10.7,,
"2018-12-09 00:00:00",,,17.3
"2018-12-10 00:00:00",,-3.6,
"2018-12-14 00:00:00",16.6,,
"2018-12-15 00:00:00",,,14.8
"2018-12-16 00:00:00",,-8,
"2018-12-20 00:00:00",20.1,,
"2018-12-22 00:00:00",,-4.6,
"2018-12-26 00:00:00",17.9,,
"2018-12-27 00:00:00",,,16.3
"2018-12-28 00:00:00",,-5.3,
"2019-01-01 00:00:00",18.6,,
"2019-01-02 00:00:00",,,17.6
"2019-01-03 00:00:00",,-0.9,
"2019-01-07 00:00:00",19.2,,
"2019-01-08 00:00:00",,,18.5
"2019-01-09 00:00:00",,-2.5,
"2019-01-13 00:00:00",15.8,,
"2019-01-14 00:00:00",,,19.6
"2019-01-15 00:00:00",,1.9,
"2019-01-19 00:00:00",16.1,,
"2019-01-20 00:00:00",,,18.7
"2019-01-21 00:00:00",,-3.6,
"2019-01-26 00:00:00",,,19.1
"2019-01-27 00:00:00",,-1.8,
"2019-01-31 00:00:00",19.2,,
"2019-02-01 00:00:00",,,20.8
"2019-02-06 00:00:00",20.7,,
"2019-02-07 00:00:00",,,20.3
"2019-02-08 00:00:00",,-1.4,
"2019-02-13 00:00:00",,,17.4
"2019-02-14 00:00:00",,-3.6,
"2019-02-18 00:00:00",18.2,,
"2019-02-19 00:00:00",,,18
"2019-02-20 00:00:00",,-2.6,
"2019-02-24 00:00:00",14.8,,
"2019-02-25 00:00:00",,,11.8
"2019-02-26 00:00:00",,-2.9,
"2019-03-02 00:00:00",15,,
"2019-03-03 00:00:00",,,17.3
"2019-03-04 00:00:00",,-0.9,
"2019-03-08 00:00:00",18.2,,
"2019-03-09 00:00:00",,,15.6
