"timestamp","037-0712-iw3","110-0711-iw2"
"2018-07-30 00:00:00",,-0.2
"2018-07-31 00:00:00",-0.3,
"2018-08-05 00:00:00",,2
"2018-08-06 00:00:00",2.3,
"2018-08-11 00:00:00",,4.4
"2018-08-12 00:00:00",-1,
"2018-08-17 00:00:00",,0.5
"2018-08-18 00:00:00",-2.4,
"2018-08-23 00:00:00",,-2.3
"2018-08-24 00:00:00",-2.3,
"2018-08-30 00:00:00",-5.6,
"2018-09-04 00:00:00",,-8
"2018-09-05 00:00:00",-9.5,
"2018-09-10 00:00:00",,-8.4
"2018-09-11 00:00:00",-10.1,
"2018-09-16 00:00:00",,-9.9
"2018-09-17 00:00:00",-10.6,
"2018-09-22 00:00:00",,-13.3
"2018-09-23 00:00:00",-16.7,
"2018-09-28 00:00:00",,-19.2
"2018-09-29 00:00:00",-20.7,
"2018-10-04 00:00:00",,-28.3
"2018-10-05 00:00:00",-31.8,
"2018-10-10 00:00:00",,-41.3
"2018-10-11 00:00:00",-39.8,
"2018-10-16 00:00:00",,-42.4
"2018-10-17 00:00:00",-48.4,
"2018-10-22 00:00:00",,-51.6
"2018-10-23 00:00:00",-51.7,
"2018-10-28 00:00:00",,-58.6
"2018-10-29 00:00:00",-62.2,
"2018-11-03 00:00:00",,-65.7
"2018-11-04 00:00:00",-65.4,
"2018-11-09 00:00:00",,-72.6
"2018-11-10 00:00:00",-71.5,
"2018-11-15 00:00:00",,-76.7
"2018-11-16 00:00:00",-79.1,
"2018-11-21 00:00:00",,-75.6
"2018-11-22 00:00:00",-81.7,
"2018-11-27 00:00:00",,-81.4
"2018-11-28 00:00:00",-84.6,
"2018-12-03 00:00:00",,-81.7
"2018-12-04 00:00:00",-89.1,
"2018-12-09 00:00:00",,-91.9
"2018-12-15 00:00:00",,-89.9
"2018-12-16 00:00:00",-94.6,
"2018-12-21 00:00:00",,-91
"2018-12-22 00:00:00",-94,
"2018-12-27 00:00:00",,-88.2
"2018-12-28 00:00:00",-91.3,
"2019-01-02 00:00:00",,-89.4
"2019-01-03 00:00:00",-93.4,
"2019-01-08 00:00:00",,-93.1
"2019-01-09 00:00:00",-94.2,
"2019-01-14 00:00:00",,-85.1
"2019-01-15 00:00:00",-89.4,
"2019-01-20 00:00:00",,-90.6
"2019-01-21 00:00:00",-95.7,
"2019-01-26 00:00:00",,-89.2
"2019-01-27 00:00:00",-88.2,
"2019-02-01 00:00:00",,-89.9
"2019-02-02 00:00:00",-93.2,
"2019-02-08 00:00:00",-93.6,
"2019-02-13 00:00:00",,-87.3
"2019-02-14 00:00:00",-95.6,
"2019-02-19 00:00:00",,-92.4
"2019-02-20 00:00:00",-94.8,
"2019-02-25 00:00:00",,-89.4
"2019-02-26 00:00:00",-92.7,
"2019-03-03 00:00:00",,-92.6
"2019-03-04 00:00:00",-93.9,
"2019-03-09 00:00:00",,-92.1
"2019-03-10 00:00:00",-95,
"2019-03-15 00:00:00",,-90
"2019-03-16 00:00:00",-92.4,
"2019-03-21 00:00:00",,-94.2
"2019-03-22 00:00:00",-92.7,
"2019-03-27 00:00:00",,-91.6
"2019-03-28 00:00:00",-96.1,
"2019-04-02 00:00:00",,-94.3
"2019-04-03 00:00:00",-95.5,
"2019-04-08 00:00:00",,-93.4
"2019-04-09 00:00:00",-94.7,
"2019-04-14 00:00:00",,-93.2
"2019-04-15 00:00:00",-94,
"2019-04-20 00:00:00",,-93.4
"2019-04-21 00:00:00",-96.8,
"2019-04-26 00:00:00",,-93.1
"2019-04-27 00:00:00",-95.2,
"2019-05-02 00:00:00",,-93.2
"2019-05-03 00:00:00",-96.5,
"2019-05-08 00:00:00",,-93.2
"2019-05-09 00:00:00",-94.7,
"2019-05-14 00:00:00",,-94.9
"2019-05-15 00:00:00",-98.5,
"2019-05-20 00:00:00",,-96
"2019-05-21 00:00:00",-102.6,
"2019-05-26 00:00:00",,-96.7
"2019-05-27 00:00:00",-100.9,
"2019-06-01 00:00:00",,-101.3
"2019-06-02 00:00:00",-106.4,
"2019-06-08 00:00:00",-103.4,
"2019-06-13 00:00:00",,-110.2
"2019-06-14 00:00:00",-111,
"2019-06-19 00:00:00",,-110.3
"2019-06-20 00:00:00",-116.8,
"2019-06-25 00:00:00",,-115.6
"2019-06-26 00:00:00",-121.7,
"2019-07-01 00:00:00",,-116.3
"2019-07-02 00:00:00",-119.4,
"2019-07-07 00:00:00",,-121.3
"2019-07-08 00:00:00",-125.5,
"2019-07-13 00:00:00",,-121.7
"2019-07-14 00:00:00",-127.7,
"2019-07-19 00:00:00",,-123.3
"2019-07-20 00:00:00",-124.7,
"2019-07-25 00:00:00",,-123.6
"2019-07-26 00:00:00",-130.3,
"2019-07-31 00:00:00",,-123.5
"2019-08-01 00:00:00",-127.4,
"2019-08-06 00:00:00",,-124.6
"2019-08-07 00:00:00",-128.5,
"2019-08-12 00:00:00",,-127.8
"2019-08-13 00:00:00",-128.5,
"2019-08-18 00:00:00",,-124.7
"2019-08-19 00:00:00",-129.2,
"2019-08-24 00:00:00",,-132.1
"2019-08-25 00:00:00",-136.6,
"2019-08-30 00:00:00",,-133
"2019-08-31 00:00:00",-135.8,
"2019-09-05 00:00:00",,-131.1
"2019-09-06 00:00:00",-136.7,
